District,Year-Month,Total_Precipitation_mm,Mean_Temperature_C
Colombo,2010-01,91.20,26.42
Colombo,2010-02,69.80,27.43
Colombo,2010-03,61.00,28.35
Colombo,2010-04,260.80,27.48
Colombo,2010-05,321.90,27.23
Colombo,2010-06,388.40,26.74
Colombo,2010-07,246.90,26.38
Colombo,2010-08,201.50,26.20
Colombo,2010-09,265.00,25.99
Colombo,2010-10,281.70,26.25
Colombo,2010-11,495.50,25.63
Colombo,2010-12,406.20,24.95
Colombo,2011-01,162.60,24.82
Colombo,2011-02,115.50,25.54
Colombo,2011-03,117.70,26.76
Colombo,2011-04,274.10,26.64
Colombo,2011-05,213.20,26.86
Colombo,2011-06,171.20,26.88
Colombo,2011-07,257.70,26.31
Colombo,2011-08,266.40,26.25
Colombo,2011-09,283.20,26.38
Colombo,2011-10,283.60,26.25
Colombo,2011-11,293.10,25.96
Colombo,2011-12,230.20,25.58
Colombo,2012-01,64.10,25.82
Colombo,2012-02,159.10,26.47
Colombo,2012-03,136.30,26.80
Colombo,2012-04,178.90,26.82
Colombo,2012-05,118.90,27.38
Colombo,2012-06,201.90,26.57
Colombo,2012-07,211.20,26.61
Colombo,2012-08,266.40,26.30
Colombo,2012-09,240.00,26.36
Colombo,2012-10,448.90,26.09
Colombo,2012-11,336.20,25.96
Colombo,2012-12,203.30,25.64
Colombo,2013-01,108.20,25.91
Colombo,2013-02,153.70,26.56
Colombo,2013-03,205.40,27.06
Colombo,2013-04,109.00,27.81
Colombo,2013-05,327.50,27.02
Colombo,2013-06,374.40,26.06
Colombo,2013-07,217.40,26.18
Colombo,2013-08,143.10,26.27
Colombo,2013-09,277.20,26.02
Colombo,2013-10,352.70,26.16
Colombo,2013-11,210.00,25.93
Colombo,2013-12,120.90,25.65
Colombo,2014-01,36.60,26.67
Colombo,2014-02,13.40,27.90
Colombo,2014-03,72.90,28.34
Colombo,2014-04,269.60,27.30
Colombo,2014-05,257.10,27.12
Colombo,2014-06,177.50,27.21
Colombo,2014-07,166.70,26.84
Colombo,2014-08,254.80,26.20
Colombo,2014-09,269.70,26.15
Colombo,2014-10,576.30,25.94
Colombo,2014-11,309.50,25.71
Colombo,2014-12,466.10,25.30
Colombo,2015-01,35.80,26.59
Colombo,2015-02,81.20,26.92
Colombo,2015-03,146.60,27.66
Colombo,2015-04,269.30,27.12
Colombo,2015-05,264.10,27.15
Colombo,2015-06,239.00,26.98
Colombo,2015-07,209.30,26.84
Colombo,2015-08,182.60,26.72
Colombo,2015-09,340.00,26.23
Colombo,2015-10,581.60,26.17
Colombo,2015-11,334.90,26.03
Colombo,2015-12,295.70,26.26
Colombo,2016-01,36.00,27.27
Colombo,2016-02,58.20,28.28
Colombo,2016-03,43.30,29.09
Colombo,2016-04,103.00,29.04
Colombo,2016-05,723.30,27.25
Colombo,2016-06,225.00,26.97
Colombo,2016-07,192.30,26.64
Colombo,2016-08,136.30,26.73
Colombo,2016-09,132.50,26.43
Colombo,2016-10,138.00,26.64
Colombo,2016-11,377.90,25.93
Colombo,2016-12,68.70,26.18
Colombo,2017-01,96.70,25.59
Colombo,2017-02,43.00,26.00
Colombo,2017-03,144.10,26.74
Colombo,2017-04,139.90,28.05
Colombo,2017-05,350.10,27.66
Colombo,2017-06,383.70,26.93
Colombo,2017-07,252.40,27.32
Colombo,2017-08,327.40,26.82
Colombo,2017-09,321.20,26.45
Colombo,2017-10,421.80,26.36
Colombo,2017-11,516.40,25.68
Colombo,2017-12,158.10,25.78
Colombo,2018-01,23.00,25.92
Colombo,2018-02,62.40,26.81
Colombo,2018-03,127.00,26.85
Colombo,2018-04,164.30,27.06
Colombo,2018-05,495.20,26.67
Colombo,2018-06,423.00,26.79
Colombo,2018-07,167.50,26.62
Colombo,2018-08,107.10,26.25
Colombo,2018-09,149.10,26.74
Colombo,2018-10,361.90,25.76
Colombo,2018-11,299.50,25.76
Colombo,2018-12,57.60,25.73
Colombo,2019-01,22.10,26.53
Colombo,2019-02,120.50,26.84
Colombo,2019-03,72.60,27.75
Colombo,2019-04,126.90,28.16
Colombo,2019-05,129.90,27.99
Colombo,2019-06,288.00,27.79
Colombo,2019-07,179.80,27.30
Colombo,2019-08,411.70,26.60
Colombo,2019-09,363.20,26.22
Colombo,2019-10,492.20,25.60
Colombo,2019-11,395.50,25.96
Colombo,2019-12,160.80,25.89
Colombo,2020-01,19.90,26.63
Colombo,2020-02,24.10,27.67
Colombo,2020-03,48.60,27.99
Colombo,2020-04,152.60,27.86
Colombo,2020-05,287.40,27.76
Colombo,2020-06,264.30,27.48
Colombo,2020-07,252.00,26.89
Colombo,2020-08,209.20,26.86
Colombo,2020-09,387.80,26.22
Colombo,2020-10,109.10,26.85
Colombo,2020-11,373.60,26.23
Colombo,2020-12,151.50,25.68
Colombo,2021-01,280.50,25.43
Colombo,2021-02,23.00,26.40
Colombo,2021-03,203.20,26.51
Colombo,2021-04,101.30,27.23
Colombo,2021-05,423.00,27.20
Colombo,2021-06,247.60,26.99
Colombo,2021-07,280.90,26.91
Colombo,2021-08,276.30,26.55
Colombo,2021-09,264.10,26.71
Colombo,2021-10,332.90,26.32
Colombo,2021-11,564.20,25.49
Colombo,2021-12,99.30,25.75
Colombo,2022-01,74.70,26.11
Colombo,2022-02,50.60,26.56
Colombo,2022-03,53.30,27.21
Colombo,2022-04,210.60,26.66
Colombo,2022-05,592.60,26.89
Colombo,2022-06,286.40,26.69
Colombo,2022-07,153.20,26.67
Colombo,2022-08,314.10,26.23
Colombo,2022-09,188.40,26.29
Colombo,2022-10,408.50,25.78
Colombo,2022-11,272.80,25.30
Colombo,2022-12,198.60,25.32
Colombo,2023-01,85.90,25.18
Colombo,2023-02,67.30,25.61
Colombo,2023-03,141.20,26.44
Colombo,2023-04,138.20,27.35
Colombo,2023-05,238.30,27.35
Colombo,2023-06,379.30,27.04
Colombo,2023-07,250.10,26.92
Colombo,2023-08,149.60,27.04
Colombo,2023-09,554.60,26.02
Colombo,2023-10,564.40,25.61
Colombo,2023-11,488.60,25.54
Colombo,2023-12,410.40,25.89
Colombo,2024-01,138.10,26.01
Colombo,2024-02,38.30,27.56
Colombo,2024-03,79.90,28.08
Colombo,2024-04,177.20,28.16
Colombo,2024-05,656.30,27.74
Colombo,2024-06,95.70,26.95
Gampaha,2010-01,37.10,26.25
Gampaha,2010-02,42.20,27.80
Gampaha,2010-03,56.70,28.58
Gampaha,2010-04,266.60,27.42
Gampaha,2010-05,288.50,27.06
