district,year,month,min_temperature_C,max_temperature_C,mean_temperature_C,avg_wind_speed_kmh,precipitation_sum_mm,precipitation_hours_h,extreme_weather_days,avg_shortwave_radiation_MJ_m2,avg_evapotranspiration_mm
Ampara,2010,1,20.7,29.3,25.0,25.0,210.1,62,1,24.48,7.14
Ampara,2010,2,20.0,27.8,23.9,26.8,183.2,43,0,24.81,6.91
Ampara,2010,3,24.0,31.4,27.7,22.8,50.3,36,0,23.9,7.36
Ampara,2010,4,24.3,32.1,28.2,14.4,84.2,25,0,22.92,7.74
Ampara,2010,5,27.7,35.9,31.8,22.9,104.8,52,0,19.03,7.12
Ampara,2010,6,27.4,35.5,31.4,19.2,90.0,20,0,19.83,7.94
Ampara,2010,7,27.0,36.5,31.8,25.2,116.2,59,0,23.86,8.18
Ampara,2010,8,26.4,35.1,30.8,23.8,144.5,56,0,28.39,8.57
Ampara,2010,9,23.1,32.1,27.6,20.9,194.8,69,0,19.4,6.87
Ampara,2010,10,23.6,31.4,27.5,18.0,156.3,40,0,21.67,7.28
Ampara,2010,11,25.1,31.6,28.4,26.9,193.5,46,0,20.54,7.02
Ampara,2010,12,20.1,31.0,25.6,16.5,239.0,89,0,26.55,8.23
Ampara,2011,1,21.3,28.8,25.1,24.2,157.1,36,0,20.08,6.7
Ampara,2011,2,20.7,30.5,25.6,17.1,184.1,44,0,25.75,7.58
Ampara,2011,3,24.8,31.6,28.2,23.3,59.9,26,0,20.57,6.84
Ampara,2011,4,25.9,33.4,29.6,19.6,51.0,29,0,22.91,7.1
Ampara,2011,5,27.0,37.4,32.2,20.7,122.5,59,0,21.65,8.14
Ampara,2011,6,29.8,35.8,32.8,19.5,176.0,69,0,23.75,8.2
Ampara,2011,7,26.3,35.1,30.7,24.6,140.9,35,0,25.3,8.33
Ampara,2011,8,26.7,36.1,31.4,21.3,131.7,33,0,23.63,8.49
Ampara,2011,9,23.6,31.2,27.4,25.1,132.5,63,0,22.09,7.08
Ampara,2011,10,25.3,32.2,28.8,19.8,199.6,55,0,21.75,7.37
Ampara,2011,11,24.5,33.4,28.9,26.8,296.5,81,0,23.08,7.96
Ampara,2011,12,22.3,28.1,25.2,20.9,190.6,50,0,26.44,6.94
Ampara,2012,1,23.0,28.1,25.6,24.7,236.8,72,0,27.52,7.84
Ampara,2012,2,18.8,30.3,24.6,18.5,220.6,93,0,21.49,7.29
Ampara,2012,3,24.1,31.5,27.8,22.9,30.9,31,0,27.12,8.34
Ampara,2012,4,26.2,33.1,29.6,23.2,76.2,20,0,23.7,7.84
Ampara,2012,5,29.1,32.9,31.0,17.1,161.7,59,0,22.07,7.63
Ampara,2012,6,27.3,35.6,31.5,19.2,89.7,32,0,22.29,7.67
Ampara,2012,7,28.8,34.7,31.8,18.1,187.4,66,0,25.18,7.92
Ampara,2012,8,28.4,34.1,31.2,21.9,150.0,52,0,25.24,7.97
Ampara,2012,9,25.4,31.1,28.2,16.1,127.6,55,0,18.05,7.42
Ampara,2012,10,23.9,32.7,28.3,20.3,152.6,59,1,20.79,7.54
Ampara,2012,11,24.7,31.9,28.3,22.3,288.8,64,1,24.84,7.79
Ampara,2012,12,21.2,28.2,24.7,26.4,205.1,99,0,25.61,7.63
Ampara,2013,1,22.6,28.0,25.3,24.8,317.7,127,2,26.2,7.41
Ampara,2013,2,22.6,27.3,25.0,29.0,244.8,71,0,25.03,7.1
Ampara,2013,3,23.2,31.7,27.4,19.8,83.5,44,0,24.78,7.45
Ampara,2013,4,24.0,31.8,27.9,13.9,42.4,17,0,25.18,7.64
Ampara,2013,5,28.7,32.2,30.5,17.6,101.1,64,0,26.0,7.76
Ampara,2013,6,28.6,33.6,31.1,16.6,86.1,20,0,21.26,7.73
Ampara,2013,7,27.8,36.8,32.3,26.8,109.1,56,0,28.52,8.93
Ampara,2013,8,26.6,33.6,30.1,19.1,121.1,54,0,22.95,8.05
Ampara,2013,9,24.7,33.3,29.0,24.2,143.9,36,0,22.23,7.59
Ampara,2013,10,24.6,33.6,29.1,17.5,199.6,54,0,22.36,7.46
Ampara,2013,11,24.5,30.8,27.6,27.7,283.8,87,0,18.6,6.46
Ampara,2013,12,22.8,29.1,26.0,14.9,199.8,51,0,26.93,7.51
Ampara,2014,1,20.1,27.0,23.6,22.4,213.2,54,0,25.46,7.55
Ampara,2014,2,20.7,30.9,25.8,26.6,190.8,60,0,23.07,7.42
Ampara,2014,3,25.4,31.0,28.2,14.6,98.9,23,0,24.97,7.44
Ampara,2014,4,23.7,31.8,27.8,22.8,47.8,34,0,24.56,7.56
Ampara,2014,5,26.8,35.8,31.3,18.0,223.8,56,0,21.51,8.08
Ampara,2014,6,28.6,37.7,33.2,20.2,169.4,42,0,22.2,8.15
Ampara,2014,7,26.3,37.8,32.0,17.7,183.7,35,0,28.49,9.09
Ampara,2014,8,25.9,34.0,29.9,27.8,157.8,55,0,23.33,7.69
Ampara,2014,9,24.0,33.4,28.7,26.9,183.4,66,0,19.8,7.37
Ampara,2014,10,25.4,34.1,29.8,21.1,248.5,72,0,24.6,8.15
Ampara,2014,11,22.5,31.9,27.2,20.5,291.3,76,0,19.02,7.26
Ampara,2014,12,20.2,28.8,24.5,16.5,187.2,43,0,26.98,7.84
Ampara,2015,1,20.6,30.2,25.4,15.8,215.5,59,0,22.09,7.22
Ampara,2015,2,19.4,26.6,23.0,16.2,301.5,149,0,20.19,6.67
Ampara,2015,3,25.5,31.9,28.7,12.2,62.2,26,0,28.22,7.95
Ampara,2015,4,24.5,31.9,28.2,14.0,101.0,45,0,24.2,7.75
Ampara,2015,5,26.0,37.0,31.5,19.4,138.0,70,0,20.38,7.63
Ampara,2015,6,28.7,37.0,32.9,24.8,183.3,68,0,22.94,7.88
Ampara,2015,7,26.8,35.0,30.9,15.4,133.9,48,0,25.46,8.79
Ampara,2015,8,27.4,36.3,31.8,16.3,114.2,40,0,27.2,8.2
Ampara,2015,9,25.2,32.7,29.0,27.2,128.3,32,0,23.16,8.01
Ampara,2015,10,24.4,29.6,27.0,19.9,267.5,63,0,20.55,6.93
Ampara,2015,11,24.0,31.1,27.6,20.2,287.9,68,0,20.83,6.79
Ampara,2015,12,21.0,30.4,25.7,18.7,324.5,150,1,24.27,7.83
Ampara,2016,1,20.2,27.4,23.8,21.2,229.4,89,0,24.25,6.65
Ampara,2016,2,22.5,27.2,24.9,18.0,185.0,50,0,26.03,7.39
Ampara,2016,3,26.2,33.4,29.8,20.8,45.0,44,0,28.24,8.76
Ampara,2016,4,23.7,33.5,28.6,12.6,59.1,29,0,25.08,8.08
Ampara,2016,5,29.1,33.2,31.2,27.1,138.7,60,0,20.11,7.03
Ampara,2016,6,26.0,34.9,30.4,21.7,93.1,24,0,21.48,7.29
Ampara,2016,7,28.1,34.6,31.4,15.8,168.9,31,0,23.97,8.15
Ampara,2016,8,27.5,35.8,31.6,29.3,130.5,33,0,22.07,8.19
Ampara,2016,9,23.6,30.0,26.8,17.0,160.0,58,0,22.95,7.78
Ampara,2016,10,25.6,33.4,29.5,24.5,211.8,64,0,21.13,7.74
Ampara,2016,11,24.6,33.7,29.2,14.4,244.8,65,0,16.62,6.76
Ampara,2016,12,21.8,27.0,24.4,26.2,243.3,61,0,25.81,7.72
Ampara,2017,1,20.8,27.2,24.0,24.0,275.8,72,1,25.94,7.26
Ampara,2017,2,23.0,29.2,26.1,28.6,210.3,95,1,23.97,7.6
Ampara,2017,3,23.1,33.3,28.2,12.3,90.1,28,0,25.99,7.92
Ampara,2017,4,25.5,31.8,28.6,24.1,102.6,35,0,24.74,8.16
Ampara,2017,5,25.5,33.2,29.4,27.1,166.7,36,0,18.3,6.77
Ampara,2017,6,26.3,36.0,31.1,26.2,128.5,43,0,20.17,7.54
Ampara,2017,7,27.2,33.1,30.1,27.0,110.8,68,0,21.98,7.79
Ampara,2017,8,25.9,33.8,29.8,25.2,83.5,44,0,23.14,7.76
Ampara,2017,9,24.9,34.0,29.4,25.7,126.4,67,0,24.57,7.91
Ampara,2017,10,25.8,30.8,28.3,24.8,231.2,84,0,23.31,7.17
Ampara,2017,11,25.0,33.5,29.2,24.0,304.5,115,1,18.31,7.34
Ampara,2017,12,21.4,28.1,24.8,20.6,274.2,67,1,26.49,7.81
Ampara,2018,1,21.4,29.3,25.4,24.8,191.1,46,0,23.86,7.32
Ampara,2018,2,22.1,28.4,25.2,19.9,210.8,90,0,26.18,7.22
